Joint 0 dyn,Joint 0 lin,Joint 0 diff,Joint 1 dyn,Joint 1 lin,Joint 1 diff,Joint 2 dyn,Joint 2 lin,Joint 2 diff,Joint 3 dyn,Joint 3 lin,Joint 3 diff,Joint 4 dyn,Joint 4 lin,Joint 4 diff,Joint 5 dyn,Joint 5 lin,Joint 5 diff,Joint 6 dyn,Joint 6 lin,Joint 6 diff,Cube X dyn,Cube X lin,Cube X diff,Cube Y dyn,Cube Y lin,Cube Y diff,Cube rot dyn,Cube rot lin,Cube rot diff,Joint 0 vel dyn,Joint 0 vel lin,Joint 0 vel diff,Joint 1 vel dyn,Joint 1 vel lin,Joint 1 vel diff,Joint 2 vel dyn,Joint 2 vel lin,Joint 2 vel diff,Joint 3 vel dyn,Joint 3 vel lin,Joint 3 vel diff,Joint 4 vel dyn,Joint 4 vel lin,Joint 4 vel diff,Joint 5 vel dyn,Joint 5 vel lin,Joint 5 vel diff,Joint 6 vel dyn,Joint 6 vel lin,Joint 6 vel diff,Cube X  vel dyn,Cube X vel lin,Cube X vel diff,Cube Y vel dyn,Cube Y vel lin,Cube Y vel diff,Cube rot vel dyn,Cube rot vel lin,Cube rot vel diff
-0.120397,-0.120397,0,0.338907,0.338907,0,0.0645651,0.0645651,0,-2.50149,-2.50149,0,-0.00290622,-0.00290622,0,1.23687,1.23687,0,0.00789783,0.00789783,0,0.6,0.6,0,0.02,0.02,0,0,0,0,-0.00039621,-0.00039621,0,-0.000830625,-0.000830625,0,-0.00138801,-0.00138801,0,-0.00169327,-0.00169327,0,-0.0163118,-0.0163118,0,0.0739067,0.0739067,0,0.0116757,0.0116757,0,8.04912e-18,8.04912e-18,0,1.38778e-19,1.38778e-19,0,1.49368e-16,1.49368e-16,0,
-0.12029,-0.120361,-7.12095e-05,0.338749,0.338914,0.000165429,0.0646821,0.0646046,-7.75479e-05,-2.49928,-2.50057,-0.00129235,-0.00344923,-0.003292,0.000157227,1.23482,1.23621,0.00138725,0.00820643,0.00806341,-0.000143018,0.6,0.6,0,0.02,0.02,0,0,0,0,0.00797701,0.00566829,-0.00230871,-0.0236928,-0.00457866,0.0191141,0.00884125,0.00566706,-0.0031742,0.132771,0.119339,-0.0134326,-0.0128044,-0.0256072,-0.0128027,-0.148101,-0.114746,0.0333548,0.0132475,0.0160169,0.00276944,7.77156e-18,7.91034e-18,1.38778e-19,1.38778e-19,5.55111e-19,4.16334e-19,-3.0822e-17,6.87567e-17,9.95787e-17,
-0.120201,-0.120187,1.4033e-05,0.338437,0.338392,-4.54015e-05,0.0647811,0.0648025,2.1413e-05,-2.49793,-2.49768,0.000241645,-0.00357649,-0.00361131,-3.48242e-05,1.2333,1.233,-0.000293746,0.00832264,0.00827648,-4.61628e-05,0.6,0.6,3.33067e-16,0.02,0.02,-4.44089e-16,0,-5.71101e-14,-5.71101e-14,0.00946327,0.0101016,0.000638328,-0.0350679,-0.0407264,-0.0056585,0.0104835,0.0106983,0.000214715,0.136333,0.138412,0.00207848,-0.0133336,-0.0216823,-0.0083487,-0.153328,-0.140986,0.012342,0.0104948,-0.00379591,-0.0142907,7.35523e-18,5.10673e-14,5.10599e-14,-2.77556e-19,-7.90302e-14,-7.90299e-14,1.11433e-16,-8.89747e-12,-8.89758e-12,
-0.1201,-0.120085,1.524e-05,0.338052,0.337998,-5.4169e-05,0.0648926,0.0649151,2.25788e-05,-2.49655,-2.4963,0.000242253,-0.0037247,-0.00376237,-3.76739e-05,1.23179,1.23152,-0.000278153,0.00840849,0.00832389,-8.46052e-05,0.6,0.6,3.33067e-16,0.02,0.02,-3.60822e-16,0,-5.64194e-14,-5.64194e-14,0.0104793,0.0111916,0.000712291,-0.0402442,-0.0449165,-0.00467232,0.0115353,0.0117487,0.000213432,0.138943,0.141145,0.00220218,-0.0160385,-0.0287775,-0.012739,-0.14716,-0.1271,0.0200595,0.00724449,-0.0164848,-0.0237293,7.49401e-18,4.96949e-14,4.96874e-14,-4.16334e-19,-5.96475e-14,-5.96471e-14,4.50475e-17,-8.76092e-12,-8.76096e-12,
-0.11999,-0.119975,1.49687e-05,0.337641,0.337582,-5.88132e-05,0.0650125,0.0650372,2.46707e-05,-2.49514,-2.4949,0.000239216,-0.00390688,-0.0039478,-4.09178e-05,1.23042,1.23016,-0.000262455,0.00845823,0.00832337,-0.000134863,0.6,0.6,3.33067e-16,0.02,0.02,-5.37764e-16,0,-5.84488e-14,-5.84488e-14,0.0112977,0.011963,0.000665345,-0.041098,-0.044956,-0.00385801,0.0122783,0.0127209,0.000442686,0.142099,0.144209,0.0021106,-0.0200219,-0.0375595,-0.0175376,-0.128466,-0.102756,0.02571,0.00338175,-0.0325142,-0.035896,7.49401e-18,4.2579e-14,4.25715e-14,-2.77556e-19,-1.01151e-13,-1.0115e-13,7.82404e-17,-9.36518e-12,-9.36526e-12,
-0.119873,-0.119848,2.40876e-05,0.337249,0.337188,-6.04873e-05,0.065139,0.0651449,5.81347e-06,-2.49369,-2.49346,0.000228251,-0.00412407,-0.0041948,-7.0732e-05,1.22938,1.22917,-0.000209876,0.00847951,0.00825479,-0.000224719,0.6,0.6,4.44089e-16,0.02,0.02,-3.64292e-16,0,-6.18472e-14,-6.18472e-14,0.0120644,0.0139602,0.00189588,-0.0370059,-0.0393182,-0.00231231,0.0128176,0.00948984,-0.00332773,0.147852,0.149184,0.00133222,-0.0223124,-0.0525729,-0.0302605,-0.0801479,-0.036226,0.043922,0.00311356,-0.0558478,-0.0589614,7.49401e-18,7.57389e-14,7.57314e-14,-1.38778e-19,-4.86191e-14,-4.8619e-14,-1.65964e-17,-1.0617e-11,-1.0617e-11,
-0.119748,-0.119725,2.33262e-05,0.336924,0.336825,-9.92227e-05,0.0652703,0.0652762,5.83422e-06,-2.49215,-2.49195,0.000197049,-0.00435936,-0.00442113,-6.17603e-05,1.22899,1.2285,-0.000493027,0.00849173,0.00824995,-0.000241777,0.6,0.6,3.33067e-16,0.02,0.02,-4.51028e-16,0,-6.0304e-14,-6.0304e-14,0.012639,0.0143844,0.00174541,-0.0294769,-0.0376688,-0.00819191,0.0131691,0.00984024,-0.00332888,0.158374,0.153851,-0.0045234,-0.0250315,-0.0521446,-0.0271131,-0.0135891,-0.0113492,0.00223996,0.000263439,-0.0589728,-0.0592362,7.35523e-18,4.99375e-14,4.99301e-14,-2.40741e-34,-6.73978e-14,-6.73978e-14,-4.97893e-17,-1.02283e-11,-1.02283e-11,
-0.119621,-0.119596,2.47388e-05,0.336635,0.336531,-0.000103544,0.0654027,0.0654105,7.73642e-06,-2.49052,-2.49033,0.000191244,-0.00460505,-0.00466099,-5.59373e-05,1.22896,1.22843,-0.000533585,0.00849247,0.00824989,-0.000242575,0.6,0.6,3.33067e-16,0.02,0.02,-6.41848e-16,0,-5.99354e-14,-5.99354e-14,0.012729,0.0146051,0.00187618,-0.0292547,-0.038308,-0.00905334,0.0132709,0.01003,-0.00324088,0.164611,0.158337,-0.00627391,-0.0241525,-0.0505237,-0.0263712,0.00118364,-0.00224956,-0.00343319,3.47479e-05,-0.0595248,-0.0595595,7.35523e-18,4.9044e-14,4.90367e-14,6.93889e-19,-1.07621e-13,-1.07622e-13,1.0432e-16,-1.02476e-11,-1.02477e-11,
-0.119494,-0.119469,2.52098e-05,0.336334,0.336233,-0.000100409,0.0655353,0.0655433,7.9293e-06,-2.48886,-2.48866,0.000199204,-0.00483874,-0.00489266,-5.39219e-05,1.229,1.22848,-0.000513364,0.00849254,0.00824653,-0.00024601,0.6,0.6,4.44089e-16,0.02,0.02,-6.9042e-16,0,-6.05208e-14,-6.05208e-14,0.0126733,0.014573,0.00189977,-0.0306087,-0.0396591,-0.00905044,0.0132452,0.00999575,-0.00324942,0.166879,0.160604,-0.00627488,-0.0230845,-0.049092,-0.0260074,0.00493197,0.00118409,-0.00374789,1.31636e-05,-0.0599261,-0.0599393,7.49401e-18,6.47064e-14,6.46989e-14,1.38778e-19,-1.18658e-13,-1.18658e-13,6.16439e-17,-1.03104e-11,-1.03104e-11,
-0.119368,-0.119342,2.55224e-05,0.336022,0.33592,-0.000101238,0.0656672,0.0656752,7.97414e-06,-2.48719,-2.48698,0.000201999,-0.00506408,-0.00511484,-5.07658e-05,1.22905,1.22854,-0.000510577,0.00849248,0.00824321,-0.000249273,0.6,0.6,4.44089e-16,0.02,0.02,-1.03736e-15,0,-5.82159e-14,-5.82159e-14,0.0125615,0.014487,0.00192544,-0.0315708,-0.0406239,-0.0090531,0.0131525,0.00989125,-0.00326124,0.167793,0.161526,-0.00626739,-0.0223731,-0.048004,-0.025631,0.00605261,0.00189049,-0.00416212,5.39066e-06,-0.0603427,-0.0603481,7.77156e-18,6.88575e-14,6.88498e-14,-1.38778e-19,-1.96746e-13,-1.96746e-13,1.0432e-16,-9.92168e-12,-9.92178e-12,
