Control Number,T1,T2,T3,T4,T5,T6,T7,T1_init,T2_init,T3_init,T4_init,T5_init,T6_init,T7_init,J1,J2,J3,J4,J5,J6,J7,Cube x,Cube y,Cube w,V1,V2,V3,V4,V5,V6,V7,Cube x V,Cube y V,Cube w V,
10,-4.08384,-38.5215,9.19447,31.1545,-0.0813555,12,-1.27242,1.85791,-36.0284,3.04382,35.003,-0.165785,1.77439,0.00255611,-0.123059,0.405928,0.0644344,-2.50442,-0.0021741,1.28533,0.00197962,0.8,0.02,0,-0.0688269,-1.01153,0.0800705,-0.000471706,0.0934905,-0.711383,0.0172481,0,0,-1.83004e-17,
11,-4.08267,-38.5828,9.27338,31.2348,0.0825287,12,-1.35772,1.85791,-36.0284,3.04382,35.003,-0.165785,1.77439,0.00255611,-0.123331,0.402081,0.064754,-2.50441,-0.00172601,1.28264,0.00203439,0.8,0.02,0,-0.0678261,-0.961704,0.0799117,0.0029648,0.112024,-0.671537,0.0136929,0,0,3.66008e-17,
12,-4.07419,-38.6481,9.34571,31.3121,0.246349,12,-1.44191,1.85791,-36.0284,3.04382,35.003,-0.165785,1.77439,0.00255611,-0.123599,0.39843,0.0650724,-2.50439,-0.00120177,1.28012,0.00207357,0.8,0.02,0,-0.0671148,-0.912764,0.0796001,0.00653344,0.131058,-0.630704,0.00979482,4.44089e-19,0,7.32015e-17,
13,-4.05636,-38.7175,9.40987,31.3858,0.409853,12,-1.5242,1.85791,-36.0284,3.04382,35.003,-0.165785,1.77439,0.00255611,-0.123865,0.39497,0.0653893,-2.50435,-0.000600981,1.27777,0.00209594,0.8,0.02,0,-0.0665445,-0.865011,0.0792252,0.0100308,0.150198,-0.589134,0.00559173,4.44089e-19,4.44089e-19,-3.69779e-32,
14,-4.02639,-38.7912,9.46343,31.4553,0.572544,12,-1.60354,1.85791,-36.0284,3.04382,35.003,-0.165785,1.77439,0.00255611,-0.124129,0.391695,0.0657046,-2.50429,7.5992e-05,1.27558,0.00210039,0.8,0.02,0,-0.0660009,-0.818679,0.0788276,0.0133425,0.169243,-0.547251,0.00111382,0,4.44089e-19,1.73854e-16,
15,-3.9803,-38.8693,9.50279,31.5196,0.733631,12,-1.67857,1.85791,-36.0284,3.04382,35.003,-0.165785,1.77439,0.00255611,-0.124391,0.388599,0.0660182,-2.50423,0.000828474,1.27355,0.00208593,0.8,0.02,0,-0.065409,-0.774013,0.0784007,0.0163446,0.188121,-0.505746,-0.00361502,0,0,1.09802e-16,
16,-3.91188,-38.9519,9.52201,31.5785,0.892087,12,-1.74758,1.85791,-36.0284,3.04382,35.003,-0.165785,1.77439,0.00255611,-0.12465,0.385674,0.0663306,-2.50415,0.0016544,1.27169,0.00205179,0.8,0.02,0,-0.0646356,-0.731201,0.0781043,0.0189671,0.206482,-0.465286,-0.00853533,4.44089e-19,-4.44089e-19,-7.32015e-17,
17,-3.81448,-39.0388,9.5145,31.6329,1.0472,12,-1.80932,1.85791,-36.0284,3.04382,35.003,-0.165785,1.77439,0.00255611,-0.124904,0.382913,0.0666415,-2.50407,0.00255009,1.26999,0.00199739,0.8,0.02,0,-0.0635667,-0.690274,0.077724,0.021219,0.223921,-0.42603,-0.0136008,0,-8.88178e-19,7.32015e-17,
18,-3.68402,-39.1289,9.47557,31.6859,1.19841,12,-1.86357,1.85791,-36.0284,3.04382,35.003,-0.165785,1.77439,0.00255611,-0.125152,0.380308,0.0669504,-2.50397,0.00351143,1.26844,0.00192228,0.8,0.02,0,-0.0621493,-0.651212,0.0772214,0.0231428,0.240334,-0.387962,-0.0187779,-4.44089e-19,-8.88178e-19,2.10454e-16,
19,-3.55894,-39.2198,9.44011,31.7449,1.34712,12,-1.91762,1.85791,-36.0284,3.04382,35.003,-0.165785,1.77439,0.00255611,-0.125394,0.377852,0.0672567,-2.50388,0.00453404,1.26703,0.00182614,0.8,0.02,0,-0.0603254,-0.613967,0.0765765,0.0247989,0.255655,-0.351112,-0.0240333,0,0,2.56205e-16,
