Control Number,T1,T2,T3,T4,T5,T6,T7,T1_init,T2_init,T3_init,T4_init,T5_init,T6_init,T7_init,J1,J2,J3,J4,J5,J6,J7,Cube x,Cube y,Cube w,V1,V2,V3,V4,V5,V6,V7,Cube x V,Cube y V,Cube w V,
361,1.00441,-30.9962,0.995239,53.5055,0.887559,-0.345128,2.41667,0.539975,-28.7164,1.49668,31.7798,0.512444,0.578216,-0.0011275,-0.124474,0.257559,0.131484,-2.05105,-0.120466,1.39933,0.130193,0.8,0.02,0,0.0109538,0.0206347,-0.00125707,0.347091,0.00153815,-0.246237,0.242298,8.88178e-19,-8.88178e-19,-2.74506e-17,
362,1.00597,-30.9762,0.9957,53.4644,0.874934,-0.345202,2.40221,0.539975,-28.7164,1.49668,31.7798,0.512444,0.578216,-0.0011275,-0.12443,0.257643,0.131478,-2.04967,-0.12045,1.39833,0.131164,0.8,0.02,0,0.0109677,0.0210987,-0.00134871,0.346107,0.00420151,-0.250977,0.242751,8.88178e-19,-4.44089e-19,-1.00652e-16,
363,1.00786,-30.9566,0.99593,53.4238,0.864619,-0.349992,2.38604,0.539975,-28.7164,1.49668,31.7798,0.512444,0.578216,-0.0011275,-0.124386,0.25773,0.131472,-2.04829,-0.120432,1.39732,0.13213,0.8,0.02,0,0.010879,0.0217016,-0.0014714,0.345208,0.00431819,-0.253234,0.241607,4.44089e-19,3.85186e-34,-4.57509e-17,
364,1.00984,-30.9371,0.996099,53.3834,0.855052,-0.356222,2.3694,0.539975,-28.7164,1.49668,31.7798,0.512444,0.578216,-0.0011275,-0.124343,0.257819,0.131466,-2.04691,-0.120418,1.3963,0.133091,0.8,0.02,0,0.0107769,0.022335,-0.00159783,0.3444,0.0036328,-0.254688,0.24008,0,3.85186e-34,9.15019e-18,
365,1.01182,-30.9179,0.996263,53.3431,0.845756,-0.362858,2.35268,0.539975,-28.7164,1.49668,31.7798,0.512444,0.578216,-0.0011275,-0.1243,0.257911,0.131459,-2.04554,-0.120407,1.39528,0.134044,0.8,0.02,0,0.0106819,0.0229579,-0.00171464,0.343657,0.00271028,-0.25585,0.238446,-4.44089e-19,-4.44089e-19,7.32015e-17,
366,1.01379,-30.8988,0.996437,53.3031,0.83659,-0.369558,2.33599,0.539975,-28.7164,1.49668,31.7798,0.512444,0.578216,-0.0011275,-0.124258,0.258005,0.131452,-2.04416,-0.1204,1.39425,0.134991,0.8,0.02,0,0.0105985,0.0235555,-0.00181908,0.34296,0.00172391,-0.256882,0.236784,-4.44089e-19,4.44089e-19,1.37253e-16,
367,1.01574,-30.8799,0.996628,53.2632,0.827517,-0.376195,2.31938,0.539975,-28.7164,1.49668,31.7798,0.512444,0.578216,-0.0011275,-0.124216,0.258102,0.131444,-2.04279,-0.120397,1.39322,0.135932,0.8,0.02,0,0.0105268,0.0241242,-0.00191154,0.342295,0.00072522,-0.25784,0.235119,-4.44089e-19,8.88178e-19,1.92154e-16,
368,1.01767,-30.861,0.996841,53.2235,0.818529,-0.382717,2.30286,0.539975,-28.7164,1.49668,31.7798,0.512444,0.578216,-0.0011275,-0.124174,0.2582,0.131436,-2.04143,-0.120398,1.39218,0.136866,0.8,0.02,0,0.0104658,0.0246643,-0.00199315,0.341655,-0.000270942,-0.258744,0.233461,4.44089e-19,4.44089e-19,1.83004e-17,
369,1.01958,-30.8424,0.997077,53.184,0.809635,-0.38909,2.28646,0.539975,-28.7164,1.49668,31.7798,0.512444,0.578216,-0.0011275,-0.124132,0.258301,0.131428,-2.04006,-0.120403,1.39114,0.137793,0.8,0.02,0,0.0104142,0.0251779,-0.00206513,0.341035,-0.00126028,-0.259605,0.231811,8.88178e-19,4.44089e-19,5.49011e-17,
370,1.05183,-30.685,0.874041,52.9567,0.823395,-0.632424,2.16279,0.532203,-28.6945,1.49255,31.7087,0.518366,0.571118,-0.00112569,-0.124091,0.258404,0.13142,-2.0387,-0.120412,1.3901,0.138714,0.8,0.02,0,0.0103711,0.0256678,-0.00212855,0.340432,-0.00224115,-0.260425,0.230171,4.44089e-19,4.44089e-19,1.00652e-16,
371,1.05324,-30.6668,0.874994,52.917,0.81254,-0.616285,2.14982,0.532203,-28.6945,1.49255,31.7087,0.518366,0.571118,-0.00112569,-0.124047,0.258506,0.131408,-2.03734,-0.120419,1.389,0.139587,0.8,0.02,0,0.0110121,0.0256309,-0.00291254,0.340092,-0.00173915,-0.274222,0.218402,1.33227e-18,4.44089e-19,-1.83004e-17,
372,1.05505,-30.6493,0.875632,52.8786,0.803262,-0.614243,2.13511,0.532203,-28.6945,1.49255,31.7087,0.518366,0.571118,-0.00112569,-0.124003,0.25861,0.131396,-2.03599,-0.120428,1.38789,0.140453,0.8,0.02,0,0.0109866,0.0260103,-0.00303694,0.339136,-0.00223246,-0.278709,0.216469,4.44089e-19,4.44089e-19,4.57509e-17,
373,1.05695,-30.6321,0.876222,52.8405,0.794666,-0.616204,2.11996,0.532203,-28.6945,1.49255,31.7087,0.518366,0.571118,-0.00112569,-0.123959,0.258716,0.131383,-2.03463,-0.12044,1.38677,0.141313,0.8,0.02,0,0.0109264,0.0265502,-0.00312547,0.338207,-0.00301597,-0.280613,0.214995,0,4.44089e-19,1.37253e-16,
374,1.05886,-30.6151,0.876814,52.8026,0.786362,-0.619347,2.10475,0.532203,-28.6945,1.49255,31.7087,0.518366,0.571118,-0.00112569,-0.123916,0.258825,0.13137,-2.03328,-0.120456,1.38564,0.142167,0.8,0.02,0,0.0108707,0.0271403,-0.00320438,0.337384,-0.00392425,-0.281738,0.213496,0,3.85186e-34,2.47055e-16,
375,1.06076,-30.5982,0.877426,52.7649,0.778218,-0.62282,2.08963,0.532203,-28.6945,1.49255,31.7087,0.518366,0.571118,-0.00112569,-0.123873,0.258936,0.131357,-2.03194,-0.120475,1.38451,0.143015,0.8,0.02,0,0.0108231,0.0277317,-0.00327384,0.336645,-0.00486488,-0.282584,0.211983,0,3.85186e-34,3.01956e-16,
376,1.06263,-30.5815,0.878066,52.7273,0.770204,-0.626339,2.07466,0.532203,-28.6945,1.49255,31.7087,0.518366,0.571118,-0.00112569,-0.123829,0.259049,0.131344,-2.03059,-0.120498,1.38338,0.143857,0.8,0.02,0,0.0107833,0.028304,-0.00333448,0.335962,-0.00580176,-0.283303,0.210474,4.44089e-19,3.85186e-34,1.28103e-16,
377,1.06449,-30.5649,0.878736,52.6898,0.762322,-0.629798,2.05986,0.532203,-28.6945,1.49255,31.7087,0.518366,0.571118,-0.00112569,-0.123786,0.259165,0.13133,-2.02925,-0.120525,1.38224,0.144693,0.8,0.02,0,0.0107506,0.0288502,-0.00338732,0.335318,-0.00672398,-0.283948,0.208978,4.44089e-19,3.85186e-34,1.83004e-16,
378,1.06632,-30.5484,0.879439,52.6525,0.754578,-0.633149,2.04527,0.532203,-28.6945,1.49255,31.7087,0.518366,0.571118,-0.00112569,-0.123743,0.259282,0.131317,-2.02791,-0.120556,1.3811,0.145523,0.8,0.02,0,0.0107239,0.0293691,-0.0034333,0.334702,-0.00762896,-0.284537,0.207499,8.88178e-19,4.44089e-19,7.32015e-17,
379,1.06813,-30.532,0.880174,52.6153,0.746963,-0.636406,2.03085,0.532203,-28.6945,1.49255,31.7087,0.518366,0.571118,-0.00112569,-0.123701,0.259402,0.131303,-2.02658,-0.12059,1.37996,0.146347,0.8,0.02,0,0.0107025,0.0298618,-0.00347323,0.334108,-0.00851638,-0.285081,0.206038,8.88178e-19,4.44089e-19,1.18952e-16,
380,1.10139,-30.3929,0.761068,52.401,0.665562,-0.863702,1.7773,0.525439,-28.6775,1.48959,31.6399,0.523986,0.565035,-0.00112062,-0.123658,0.259523,0.131289,-2.02524,-0.120628,1.37882,0.147165,0.8,0.02,0,0.0106858,0.0303305,-0.00350781,0.333531,-0.00938753,-0.285588,0.204596,8.88178e-19,1.33227e-18,1.83004e-16,
381,1.10305,-30.377,0.762209,52.364,0.659904,-0.849776,1.76443,0.525439,-28.6775,1.48959,31.6399,0.523986,0.565035,-0.00112062,-0.123613,0.259644,0.131271,-2.02391,-0.120686,1.37763,0.14789,0.8,0.02,0,0.0111792,0.0302633,-0.0044139,0.333378,-0.0146665,-0.298688,0.181116,1.33227e-18,8.88178e-19,1.83004e-17,
382,1.10462,-30.3618,0.763351,52.3281,0.652175,-0.847872,1.75216,0.525439,-28.6775,1.48959,31.6399,0.523986,0.565035,-0.00112062,-0.123569,0.259766,0.131253,-2.02258,-0.120755,1.37641,0.148602,0.8,0.02,0,0.0111349,0.030579,-0.00454441,0.332459,-0.0171573,-0.302766,0.178153,8.88178e-19,8.88178e-19,-1.83004e-17,
383,1.10612,-30.3468,0.764546,52.2925,0.644038,-0.849221,1.74018,0.525439,-28.6775,1.48959,31.6399,0.523986,0.565035,-0.00112062,-0.123524,0.25989,0.131235,-2.02125,-0.120829,1.3752,0.149309,0.8,0.02,0,0.0110964,0.0310593,-0.00460072,0.331543,-0.018552,-0.304433,0.176746,8.88178e-19,1.33227e-18,-5.49011e-17,
384,1.1076,-30.332,0.765771,52.257,0.635829,-0.851527,1.72831,0.525439,-28.6775,1.48959,31.6399,0.523986,0.565035,-0.00112062,-0.12348,0.260017,0.131216,-2.01993,-0.120908,1.37398,0.150012,0.8,0.02,0,0.0110719,0.0315987,-0.00464039,0.330742,-0.019658,-0.305402,0.17552,8.88178e-19,4.44089e-19,-9.15019e-18,
385,1.10904,-30.3174,0.767022,52.2216,0.627626,-0.854122,1.71654,0.525439,-28.6775,1.48959,31.6399,0.523986,0.565035,-0.00112062,-0.123436,0.260145,0.131197,-2.01861,-0.12099,1.37275,0.150709,0.8,0.02,0,0.0110552,0.0321463,-0.0046717,0.330032,-0.0206755,-0.306125,0.174329,4.44089e-19,4.44089e-19,6.40513e-17,
386,1.11047,-30.3029,0.768297,52.1864,0.619453,-0.856779,1.70486,0.525439,-28.6775,1.48959,31.6399,0.523986,0.565035,-0.00112062,-0.123392,0.260276,0.131178,-2.01729,-0.121077,1.37152,0.151401,0.8,0.02,0,0.0110432,0.0326795,-0.00469731,0.329382,-0.021655,-0.306735,0.173151,4.44089e-19,4.44089e-19,-3.66008e-17,
387,1.11188,-30.2886,0.769595,52.1513,0.611318,-0.859407,1.69326,0.525439,-28.6775,1.48959,31.6399,0.523986,0.565035,-0.00112062,-0.123347,0.260409,0.13116,-2.01598,-0.121167,1.37029,0.152089,0.8,0.02,0,0.0110345,0.0331895,-0.00471852,0.328772,-0.0226127,-0.307276,0.171983,4.44089e-19,4.44089e-19,-2.74506e-17,
388,1.11328,-30.2743,0.770917,52.1163,0.603227,-0.861961,1.68174,0.525439,-28.6775,1.48959,31.6399,0.523986,0.565035,-0.00112062,-0.123303,0.260544,0.131141,-2.01466,-0.121262,1.36906,0.152773,0.8,0.02,0,0.0110285,0.0336742,-0.00473614,0.32819,-0.023555,-0.307767,0.170823,4.44089e-19,3.85186e-34,2.74506e-17,
389,1.11465,-30.2602,0.772264,52.0816,0.595179,-0.86441,1.6703,0.525439,-28.6775,1.48959,31.6399,0.523986,0.565035,-0.00112062,-0.123259,0.26068,0.131122,-2.01335,-0.12136,1.36783,0.153451,0.8,0.02,0,0.0110246,0.0341344,-0.00475068,0.32763,-0.0244854,-0.308218,0.169671,0,3.85186e-34,9.15019e-17,
390,1.15673,-30.1428,0.647177,51.869,0.614205,-1.06715,1.62679,0.519612,-28.6654,1.48772,31.5733,0.529324,0.559909,-0.00111248,-0.123215,0.260818,0.131103,-2.01204,-0.121461,1.3666,0.154125,0.8,0.02,0,0.0110225,0.034572,-0.00476253,0.327088,-0.0254059,-0.308634,0.168527,4.44089e-19,-4.44089e-19,3.66008e-17,
391,1.15758,-30.129,0.649204,51.8342,0.603347,-1.05043,1.61819,0.519612,-28.6654,1.48772,31.5733,0.529324,0.559909,-0.00111248,-0.123168,0.260956,0.13108,-2.01074,-0.12156,1.36532,0.154783,0.8,0.02,0,0.0117689,0.0344991,-0.00557679,0.32666,-0.0247579,-0.319948,0.164263,8.88178e-19,3.85186e-34,7.32015e-17,
392,1.15886,-30.1158,0.650899,51.8004,0.594375,-1.04573,1.60786,0.519612,-28.6654,1.48772,31.5733,0.529324,0.559909,-0.00111248,-0.123121,0.261096,0.131058,-2.00944,-0.12166,1.36402,0.155435,0.8,0.02,0,0.0117802,0.0348035,-0.00565202,0.325768,-0.0250232,-0.323464,0.163238,4.44089e-19,-4.44089e-19,1.09802e-16,
393,1.16022,-30.1028,0.652538,51.7669,0.586099,-1.0445,1.59702,0.519612,-28.6654,1.48772,31.5733,0.529324,0.559909,-0.00111248,-0.123074,0.261237,0.131035,-2.00814,-0.121763,1.36272,0.156084,0.8,0.02,0,0.0117489,0.0352575,-0.00569823,0.324938,-0.025725,-0.324814,0.162242,4.44089e-19,-4.44089e-19,9.15019e-18,
394,1.16161,-30.0901,0.654173,51.7335,0.578075,-1.04433,1.58607,0.519612,-28.6654,1.48772,31.5733,0.529324,0.559909,-0.00111248,-0.123027,0.26138,0.131012,-2.00684,-0.12187,1.36142,0.156729,0.8,0.02,0,0.0117173,0.0357603,-0.00573959,0.324213,-0.0265906,-0.325498,0.161178,0,4.44089e-19,6.40513e-17,
395,1.16298,-30.0774,0.655824,51.7003,0.570154,-1.04447,1.57514,0.519612,-28.6654,1.48772,31.5733,0.529324,0.559909,-0.00111248,-0.12298,0.261525,0.130989,-2.00554,-0.12198,1.36012,0.15737,0.8,0.02,0,0.0116899,0.0362668,-0.00577526,0.323564,-0.0275001,-0.325941,0.160091,4.44089e-19,-4.44089e-19,1.55553e-16,
396,1.16433,-30.0649,0.657494,51.6671,0.562294,-1.04468,1.56428,0.519612,-28.6654,1.48772,31.5733,0.529324,0.559909,-0.00111248,-0.122934,0.261672,0.130966,-2.00425,-0.122093,1.35881,0.158006,0.8,0.02,0,0.0116672,0.0367581,-0.00580531,0.322965,-0.0284125,-0.326273,0.159001,4.44089e-19,3.85186e-34,-9.15019e-18,
397,1.16567,-30.0525,0.659186,51.6342,0.554484,-1.04485,1.55349,0.519612,-28.6654,1.48772,31.5733,0.529324,0.559909,-0.00111248,-0.122887,0.261821,0.130942,-2.00296,-0.122211,1.35751,0.158637,0.8,0.02,0,0.0116485,0.0372275,-0.00583037,0.322401,-0.0293166,-0.326542,0.157916,0,3.85186e-34,9.15019e-17,
398,1.16699,-30.0402,0.6609,51.6013,0.546727,-1.04494,1.54279,0.519612,-28.6654,1.48772,31.5733,0.529324,0.559909,-0.00111248,-0.122841,0.261971,0.130919,-2.00168,-0.122331,1.3562,0.159265,0.8,0.02,0,0.0116334,0.0376735,-0.00585106,0.321861,-0.0302108,-0.326764,0.156838,4.44089e-19,4.44089e-19,3.66008e-17,
399,1.16829,-30.028,0.662636,51.5685,0.539038,-1.04499,1.53218,0.519612,-28.6654,1.48772,31.5733,0.529324,0.559909,-0.00111248,-0.122794,0.262124,0.130895,-2.00039,-0.122456,1.35489,0.159888,0.8,0.02,0,0.0116214,0.038097,-0.00586791,0.321339,-0.0310954,-0.326949,0.155768,4.44089e-19,3.85186e-34,-1.83004e-17,
400,1.21714,-29.9299,0.523272,51.3619,0.646953,-1.22424,1.61967,0.514651,-28.658,1.48688,31.5089,0.534401,0.55569,-0.00110148,-0.122748,0.262278,0.130872,-1.99911,-0.122584,1.35358,0.160506,0.8,0.02,0,0.0116122,0.0384999,-0.00588134,0.320833,-0.0319701,-0.327104,0.154707,8.88178e-19,3.85186e-34,3.66008e-17,
401,1.21732,-29.9181,0.526228,51.3292,0.631135,-1.20702,1.61454,0.514651,-28.658,1.48688,31.5089,0.534401,0.55569,-0.00110148,-0.122697,0.262431,0.130845,-1.99783,-0.122687,1.35224,0.161156,0.8,0.02,0,0.0125903,0.0384223,-0.00668502,0.320177,-0.0258112,-0.336666,0.162311,8.88178e-19,4.44089e-19,6.40513e-17,
402,1.21833,-29.9067,0.528561,51.2973,0.620452,-1.20155,1.60569,0.514651,-28.658,1.48688,31.5089,0.534401,0.55569,-0.00110148,-0.122647,0.262586,0.130818,-1.99655,-0.122784,1.35088,0.161806,0.8,0.02,0,0.0126231,0.0387066,-0.00674003,0.319353,-0.0242734,-0.339748,0.162652,8.88178e-19,4.44089e-19,-4.57509e-17,
403,1.21955,-29.8956,0.530747,51.2658,0.611399,-1.19968,1.59571,0.514651,-28.658,1.48688,31.5089,0.534401,0.55569,-0.00110148,-0.122596,0.262743,0.130791,-1.99527,-0.122882,1.34951,0.162454,0.8,0.02,0,0.0125743,0.0391213,-0.00679533,0.318625,-0.0244577,-0.340924,0.161967,4.44089e-19,-4.44089e-19,-1.09802e-16,
404,1.22082,-29.8847,0.532899,51.2345,0.602896,-1.19894,1.58547,0.514651,-28.658,1.48688,31.5089,0.534401,0.55569,-0.00110148,-0.122546,0.262901,0.130764,-1.994,-0.122983,1.34815,0.163098,0.8,0.02,0,0.0125166,0.0395743,-0.00685262,0.317986,-0.0251754,-0.341483,0.161028,0,3.85186e-34,-5.49011e-17,
405,1.22208,-29.8739,0.535053,51.2033,0.59462,-1.19854,1.57524,0.514651,-28.658,1.48688,31.5089,0.534401,0.55569,-0.00110148,-0.122497,0.263061,0.130736,-1.99273,-0.123087,1.34678,0.163738,0.8,0.02,0,0.0124629,0.0400278,-0.00690426,0.317407,-0.0260434,-0.341815,0.160022,0,4.44089e-19,-3.66008e-17,
406,1.22332,-29.8632,0.537218,51.1722,0.586476,-1.19821,1.56511,0.514651,-28.658,1.48688,31.5089,0.534401,0.55569,-0.00110148,-0.122447,0.263223,0.130708,-1.99147,-0.123194,1.34541,0.164374,0.8,0.02,0,0.0124159,0.0404669,-0.00694856,0.316866,-0.0269457,-0.342047,0.159005,0,4.44089e-19,-2.74506e-17,
407,1.22454,-29.8526,0.5394,51.1412,0.578443,-1.19787,1.5551,0.514651,-28.658,1.48688,31.5089,0.534401,0.55569,-0.00110148,-0.122397,0.263387,0.13068,-1.9902,-0.123306,1.34404,0.165006,0.8,0.02,0,0.0123755,0.0408864,-0.00698574,0.316352,-0.0278484,-0.342222,0.157992,-4.44089e-19,3.85186e-34,2.74506e-17,
408,1.22574,-29.8422,0.5416,51.1104,0.570518,-1.19745,1.54523,0.514651,-28.658,1.48688,31.5089,0.534401,0.55569,-0.00110148,-0.122348,0.263552,0.130652,-1.98894,-0.123421,1.34267,0.165634,0.8,0.02,0,0.0123413,0.0412858,-0.00701651,0.315858,-0.0287423,-0.342359,0.156992,-4.44089e-19,4.44089e-19,8.23517e-17,
409,1.22691,-29.8318,0.543819,51.0797,0.562701,-1.19695,1.53551,0.514651,-28.658,1.48688,31.5089,0.534401,0.55569,-0.00110148,-0.122299,0.263718,0.130624,-1.98767,-0.123539,1.3413,0.166258,0.8,0.02,0,0.0123124,0.041666,-0.00704154,0.315379,-0.029625,-0.342465,0.156004,4.44089e-19,3.85186e-34,1.18952e-16,
410,1.28055,-29.7525,0.388431,50.8848,0.675303,-1.37303,1.58332,0.510492,-28.655,1.487,31.4465,0.539236,0.552325,-0.00108782,-0.12225,0.263887,0.130596,-1.98642,-0.123661,1.33993,0.166878,0.8,0.02,0,0.0122883,0.0420287,-0.0070615,0.314912,-0.0304959,-0.342542,0.155031,8.88178e-19,3.85186e-34,1.28103e-16,
411,1.28072,-29.7424,0.391789,50.8539,0.659902,-1.35359,1.57918,0.510492,-28.655,1.487,31.4465,0.539236,0.552325,-0.00108782,-0.122196,0.264054,0.130564,-1.98516,-0.123757,1.33853,0.167514,0.8,0.02,0,0.0133515,0.0418959,-0.00798642,0.314287,-0.0238519,-0.351926,0.158915,1.33227e-18,3.85186e-34,-3.66008e-17,
412,1.28173,-29.7328,0.394501,50.8239,0.64961,-1.34603,1.57127,0.510492,-28.655,1.487,31.4465,0.539236,0.552325,-0.00108782,-0.122143,0.264223,0.130532,-1.9839,-0.123846,1.33711,0.168151,0.8,0.02,0,0.0133714,0.0421311,-0.00805976,0.313507,-0.0222876,-0.354812,0.159122,8.88178e-19,3.85186e-34,1.83004e-17,
413,1.28294,-29.7234,0.397069,50.7943,0.640985,-1.34208,1.56233,0.510492,-28.655,1.487,31.4465,0.539236,0.552325,-0.00108782,-0.122089,0.264393,0.130499,-1.98265,-0.123936,1.33568,0.168785,0.8,0.02,0,0.0133076,0.042501,-0.00812362,0.312818,-0.0224334,-0.355769,0.158516,8.88178e-19,4.44089e-19,7.32015e-17,
414,1.28419,-29.7142,0.399606,50.7648,0.632966,-1.33927,1.55321,0.510492,-28.655,1.487,31.4465,0.539236,0.552325,-0.00108782,-0.122037,0.264564,0.130466,-1.9814,-0.124028,1.33426,0.169415,0.8,0.02,0,0.0132372,0.0429134,-0.00818715,0.312216,-0.0230997,-0.356103,0.157678,8.88178e-19,8.88178e-19,1.37253e-16,
415,1.28543,-29.7051,0.402146,50.7354,0.62524,-1.33678,1.54419,0.510492,-28.655,1.487,31.4465,0.539236,0.552325,-0.00108782,-0.121984,0.264738,0.130433,-1.98016,-0.124124,1.33283,0.170043,0.8,0.02,0,0.0131726,0.0433299,-0.00824356,0.311671,-0.0239088,-0.356209,0.156782,8.88178e-19,8.88178e-19,2.74506e-17,
416,1.28664,-29.6962,0.4047,50.7062,0.617721,-1.33437,1.53536,0.510492,-28.655,1.487,31.4465,0.539236,0.552325,-0.00108782,-0.121931,0.264913,0.1304,-1.97891,-0.124223,1.33141,0.170666,0.8,0.02,0,0.0131163,0.0437349,-0.00829142,0.311163,-0.024746,-0.356216,0.155884,8.88178e-19,8.88178e-19,1.18952e-16,
417,1.28784,-29.6873,0.407272,50.677,0.610394,-1.33193,1.52676,0.510492,-28.655,1.487,31.4465,0.539236,0.552325,-0.00108782,-0.121879,0.265089,0.130367,-1.97767,-0.124325,1.32999,0.171286,0.8,0.02,0,0.0130678,0.0441229,-0.00833111,0.310681,-0.0255775,-0.356168,0.155001,8.88178e-19,4.44089e-19,1.73854e-16,
418,1.289,-29.6785,0.409864,50.648,0.60327,-1.32942,1.51842,0.510492,-28.655,1.487,31.4465,0.539236,0.552325,-0.00108782,-0.121827,0.265267,0.130333,-1.97643,-0.12443,1.32856,0.171903,0.8,0.02,0,0.0130265,0.0444928,-0.00836344,0.310217,-0.0263933,-0.356082,0.15414,8.88178e-19,8.88178e-19,6.40513e-17,
419,1.29014,-29.6699,0.412475,50.619,0.596393,-1.3269,1.51038,0.510492,-28.655,1.487,31.4465,0.539236,0.552325,-0.00108782,-0.121775,0.265446,0.1303,-1.97519,-0.124539,1.32714,0.172516,0.8,0.02,0,0.0129915,0.0448452,-0.00838919,0.309766,-0.0271898,-0.355966,0.153304,4.44089e-19,4.44089e-19,-2.74506e-17,
420,1.34705,-29.6102,0.241804,50.4323,0.664202,-1.47504,1.5058,0.507073,-28.6564,1.488,31.3862,0.543845,0.549766,-0.00107166,-0.121723,0.265627,0.130266,-1.97395,-0.124651,1.32571,0.173126,0.8,0.02,0,0.0129623,0.0451813,-0.00840905,0.309328,-0.0279634,-0.355827,0.152497,0,4.44089e-19,3.66008e-17,
421,1.34773,-29.6019,0.245234,50.4033,0.654844,-1.45869,1.49935,0.507073,-28.6564,1.488,31.3862,0.543845,0.549766,-0.00107166,-0.121667,0.265807,0.130228,-1.97272,-0.124747,1.32426,0.173733,0.8,0.02,0,0.0140249,0.0450356,-0.00952206,0.308713,-0.024016,-0.36365,0.151691,-4.44089e-19,4.44089e-19,9.15019e-17,
422,1.349,-29.5939,0.248163,50.3751,0.648608,-1.45188,1.49039,0.507073,-28.6564,1.488,31.3862,0.543845,0.549766,-0.00107166,-0.121611,0.265988,0.13019,-1.97149,-0.12484,1.3228,0.174338,0.8,0.02,0,0.0140266,0.0452264,-0.00961707,0.307963,-0.0231466,-0.366003,0.151235,4.44089e-19,4.44089e-19,-2.74506e-17,
423,1.35039,-29.5862,0.250998,50.3471,0.643384,-1.44796,1.48072,0.507073,-28.6564,1.488,31.3862,0.543845,0.549766,-0.00107166,-0.121555,0.26617,0.130151,-1.97026,-0.124933,1.32133,0.174939,0.8,0.02,0,0.0139635,0.0455465,-0.00967695,0.307307,-0.0232765,-0.366747,0.150439,4.44089e-19,4.44089e-19,2.74506e-17,
424,1.3518,-29.5787,0.253812,50.3192,0.638504,-1.44497,1.47087,0.507073,-28.6564,1.488,31.3862,0.543845,0.549766,-0.00107166,-0.1215,0.266354,0.130112,-1.96903,-0.125028,1.31986,0.175537,0.8,0.02,0,0.0139001,0.0459114,-0.00973127,0.30674,-0.023714,-0.366974,0.149506,4.44089e-19,4.44089e-19,-2.74506e-17,
425,1.3532,-29.5712,0.256627,50.2914,0.633765,-1.44227,1.46102,0.507073,-28.6564,1.488,31.3862,0.543845,0.549766,-0.00107166,-0.121444,0.266539,0.130073,-1.9678,-0.125125,1.31839,0.176131,0.8,0.02,0,0.0138437,0.0462838,-0.00977788,0.30623,-0.0242361,-0.367011,0.148532,0,3.85186e-34,1.83004e-17,
426,1.35458,-29.5638,0.259449,50.2637,0.629107,-1.43965,1.45122,0.507073,-28.6564,1.488,31.3862,0.543845,0.549766,-0.00107166,-0.121389,0.266726,0.130034,-1.96658,-0.125224,1.31692,0.176722,0.8,0.02,0,0.0137951,0.0466481,-0.00981657,0.305757,-0.0247753,-0.366963,0.147551,-4.44089e-19,3.85186e-34,8.23517e-17,
427,1.35593,-29.5565,0.262282,50.2361,0.624513,-1.43702,1.44148,0.507073,-28.6564,1.488,31.3862,0.543845,0.549766,-0.00107166,-0.121334,0.266914,0.129994,-1.96536,-0.125325,1.31546,0.177308,0.8,0.02,0,0.0137536,0.0469984,-0.00984803,0.305307,-0.0253129,-0.366869,0.146571,0,3.85186e-34,1.18952e-16,
428,1.35727,-29.5493,0.265126,50.2087,0.619978,-1.43436,1.4318,0.507073,-28.6564,1.488,31.3862,0.543845,0.549766,-0.00107166,-0.121279,0.267103,0.129955,-1.96414,-0.125428,1.31399,0.17789,0.8,0.02,0,0.0137185,0.0473331,-0.00987308,0.304874,-0.0258444,-0.366743,0.145597,4.44089e-19,4.44089e-19,9.15019e-18,
429,1.35859,-29.5422,0.267982,50.1813,0.615502,-1.43164,1.42218,0.507073,-28.6564,1.488,31.3862,0.543845,0.549766,-0.00107166,-0.121224,0.267294,0.129915,-1.96292,-0.125534,1.31252,0.178469,0.8,0.02,0,0.0136888,0.0476528,-0.0098925,0.304454,-0.0263691,-0.366593,0.144629,8.88178e-19,3.85186e-34,-4.57509e-17,
430,1.4182,-28.9839,0.0311227,49.9477,0.600878,-1.61259,1.24218,0.504334,-28.6619,1.48982,31.3278,0.548244,0.547968,-0.00105318,-0.12117,0.267486,0.129876,-1.96171,-0.125641,1.31106,0.179043,0.8,0.02,0,0.0136641,0.0479584,-0.00990692,0.304045,-0.0268871,-0.36642,0.143667,4.44089e-19,3.85186e-34,0,
431,1.41925,-28.9787,0.0347952,49.9202,0.596601,-1.59471,1.23428,0.504334,-28.6619,1.48982,31.3278,0.548244,0.547968,-0.00105318,-0.12111,0.267681,0.12983,-1.96049,-0.125752,1.30956,0.179551,0.8,0.02,0,0.0148724,0.0488049,-0.0114345,0.304336,-0.0276627,-0.375198,0.126808,-4.44089e-19,-4.44089e-19,9.15019e-17,
432,1.4206,-28.9736,0.0381324,49.8938,0.592325,-1.58588,1.22574,0.504334,-28.6619,1.48982,31.3278,0.548244,0.547968,-0.00105318,-0.121051,0.267879,0.129783,-1.95927,-0.125866,1.30805,0.18005,0.8,0.02,0,0.0148536,0.049636,-0.0115894,0.303758,-0.0284129,-0.377515,0.124925,0,3.85186e-34,3.66008e-17,
