initial rollout ,optimisation 1,optimisation 2,optimisation 3,optimisation 4,
2.26314,2.36169,1.54455,1.53281,1.52873,
2.26829,2.36673,1.54639,1.53449,1.53056,
2.27344,2.37173,1.54822,1.53616,1.53238,
2.27858,2.37672,1.55004,1.53783,1.5342,
2.28372,2.38167,1.55186,1.53949,1.53603,
2.28885,2.3866,1.55367,1.54114,1.5376,
2.29398,2.39151,1.55548,1.54278,1.53916,
2.29909,2.39639,1.55727,1.54441,1.54071,
2.30421,2.40125,1.55906,1.54604,1.54227,
2.30932,2.40608,1.56084,1.54766,1.54381,
2.31442,2.41089,1.56262,1.54928,1.54535,
2.31952,2.41567,1.56439,1.55089,1.54688,
2.32461,2.42042,1.56615,1.55249,1.54841,
2.32969,2.42515,1.5679,1.55408,1.54992,
2.33478,2.42986,1.56965,1.55567,1.55143,
2.33985,2.43455,1.5714,1.55726,1.55294,
2.34492,2.43921,1.57313,1.55883,1.55445,
2.34998,2.44384,1.57486,1.5604,1.55595,
2.35504,2.44845,1.57659,1.56197,1.55744,
2.3601,2.45304,1.5783,1.56353,1.55893,
2.36514,2.45761,1.58002,1.56508,1.56041,
2.37019,2.46215,1.58172,1.56663,1.56189,
2.37523,2.46667,1.58342,1.56817,1.56336,
2.38026,2.47116,1.58511,1.56971,1.56483,
2.38528,2.47563,1.5868,1.57124,1.56629,
2.39031,2.48008,1.58849,1.57277,1.56775,
2.39532,2.48451,1.59016,1.57429,1.5692,
2.40033,2.48891,1.59184,1.5758,1.57065,
2.40534,2.49329,1.5935,1.57731,1.57209,
2.41034,2.49765,1.59517,1.57882,1.57353,
2.41534,2.50199,1.59682,1.58032,1.57496,
2.42033,2.5063,1.59848,1.58181,1.57639,
2.42531,2.51059,1.60012,1.5833,1.57781,
2.4303,2.51486,1.60177,1.58479,1.57923,
2.43527,2.51911,1.6034,1.58627,1.58064,
2.44024,2.52333,1.60504,1.58774,1.58206,
2.44521,2.52754,1.60667,1.58921,1.58346,
